156,540
156,600
156,660
156,720
156,779
155,838
156,897
155,956
154,1016
163,1121
169,1153
178,1190
186,1219
199,1259
211,1292
225,1330
235,1357
248,1382
262,1399
280,1418
984,613
1121,728
1107,757
1096,788
1083,819
1073,852
1064,885
1054,918
905,1344
891,1374
890,1407
896,1441
910,1466
927,1490
949,1508
971,1527
992,1546
1012,1566
1047,1610
1061,1633
1072,1654
1086,1675
1100,1696
1113,1717
1130,1748
1145,1778
1161,1808
1173,1838
1183,1868
1193,1898
1201,1928
1211,1958
1219,1989
1271,2093
292,1431
318,1432
345,1432
361,1417
369,1399
368,1362
361,1334
349,1308
337,1282
325,1256
317,1237
309,1190
1229,2023
1242,2043
1257,2071
1289,2112
1305,2131
1328,2144
1353,2157
1394,2160
1417,2152
1431,2138
1439,2124
1439,2100
1435,2075
1429,2056
1418,2033
1404,2011
1388,1988
1374,1970
1360,1952
1346,1934
1338,1913
1330,1892
1322,1871
1318,1849
1312,1823
1307,1796
1304,1769
1305,1724
1311,1701
1319,1684
1341,1670
1379,1683
1391,1696
1404,1714
1417,1732
1429,1750
1436,1772
1445,1793
157,1070
468,842
497,817
532,795
1012,604
1047,586
1071,565
1087,541
1098,514
1103,486
1109,458
1119,431
1129,404
1281,352
1280,383
1273,414
1264,445
1250,473
1236,501
1222,529
1212,545
1203,563
1192,580
1185,599
1174,618
1164,638
1154,658
1144,679
1134,700
1241,488
482,829
514,808
546,785
306,1145
308,1114
310,1075
314,1055
317,1035
321,1012
330,987
344,962
357,945
370,925
384,907
402,891
420,875
438,859
454,848
568,777
587,764
607,751
635,741
658,727
681,719
704,709
727,700
750,692
773,684
796,676
819,668
842,660
1452,1822
1463,1851
1476,1878
1490,1896
1504,1914
1520,1930
1536,1946
1552,1962
1566,1973
1588,1986
1602,2002
1620,2016
1638,2030
1656,2044
1759,2130
1775,2150
1796,2170
1818,2188
1840,2207
1862,2226
1884,2245
1958,2304
1984,2329
2044,2367
2075,2387
2104,2408
2133,2429
2162,2450
2191,2471
2220,2492
2249,2513
2278,2534
2304,2557
2332,2576
2359,2596
2387,2613
2414,2631
2441,2649
2464,2669
2487,2689
2510,2702
2532,2718
2554,2734
2576,2750
2597,2768
2619,2784
2642,2795
2663,2808
2685,2823
2708,2834
2731,2845
